Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,CO2 Emissions (g/km)
Kia,Sportage AWD,SUV: Small,2.5,4.0,AS8,X,224.0
Kia,Sportage Hybrid AWD,SUV: Small,1.6,4.0,AM6,X,145.0
Kia,Stinger AWD,Mid-size,3.3,6.0,AS8,Z,280.0
Kia,Telluride AWD,SUV: Small,3.8,6.0,AS8,X,269.0
Lamborghini,Huracán EVO Coupe,Two-seater,5.2,10.0,AM7,Z,368.0
Lamborghini,Huracán EVO Coupe AWD,Two-seater,5.2,10.0,AM7,Z,370.0
Lamborghini,Huracán EVO Spyder,Two-seater,5.2,10.0,AM7,Z,368.0
Lamborghini,Huracán EVO Spyder AWD,Two-seater,5.2,10.0,AM7,Z,370.0
Lamborghini,Urus Performante,SUV: Standard,4.0,8.0,AS8,Z,345.0
Lamborghini,Urus S,SUV: Standard,4.0,8.0,AS8,Z,345.0
Land Rover,Defender 90 P300,SUV: Standard,2.0,4.0,AS8,Z,289.0
Land Rover,Defender 90 P400,SUV: Standard,3.0,6.0,AS8,Z,276.0
Land Rover,Defender 90 5.0L V8,SUV: Standard,5.0,8.0,AS8,Z,339.0
Land Rover,Defender 110 P300,SUV: Standard,2.0,4.0,AS8,Z,306.0
Land Rover,Defender 110 P400,SUV: Standard,3.0,6.0,AS8,Z,276.0
Land Rover,Defender 110 5.0L V8,SUV: Standard,5.0,8.0,AS8,Z,350.0
Land Rover,Discovery P300,SUV: Standard,2.0,4.0,AS8,Z,271.0
Land Rover,Discovery P360,SUV: Standard,3.0,6.0,AS8,Z,258.0
Land Rover,Discovery Sport P250,SUV: Small,2.0,4.0,AS9,Z,271.0
Land Rover,Range Rover P400,SUV: Standard,3.0,6.0,AS8,Z,265.0
Land Rover,Range Rover P400 LWB,SUV: Standard,3.0,6.0,AS8,Z,265.0
Land Rover,Range Rover P530,SUV: Standard,4.4,8.0,AS8,Z,316.0
Land Rover,Range Rover P530 LWB,SUV: Standard,4.4,8.0,AS8,Z,314.0
Land Rover,Range Rover Sport P360,SUV: Standard,3.0,6.0,AS8,Z,254.0
Land Rover,Range Rover Sport HST P400,SUV: Standard,3.0,6.0,AS8,Z,265.0
Land Rover,Range Rover Sport P530,SUV: Standard,4.4,8.0,AS8,Z,316.0
Land Rover,Range Rover Evoque P250,SUV: Small,2.0,4.0,AS9,Z,247.0
Land Rover,Range Rover Evoque P300,SUV: Small,2.0,4.0,AS9,Z,244.0
Land Rover,Range Rover Velar P250,SUV: Small,2.0,4.0,AS8,Z,244.0
Land Rover,Range Rover Velar P340,SUV: Small,3.0,6.0,AS8,Z,248.0
Land Rover,Range Rover Velar P400,SUV: Small,3.0,6.0,AS8,Z,265.0
Lexus,ES 250 AWD,Mid-size,2.5,4.0,AS8,X,195.0
Lexus,ES 300h,Mid-size,2.5,4.0,AV6,X,124.0
Lexus,ES 350,Mid-size,3.5,6.0,AS8,X,214.0
Lexus,ES 350 F SPORT,Mid-size,3.5,6.0,AS8,X,219.0
Lexus,GX 460,SUV: Standard,4.6,8.0,AS6,Z,337.0
Lexus,IS 300,Compact,2.0,4.0,AS8,Z,221.0
Lexus,IS 300 AWD,Compact,3.5,6.0,AS6,Z,253.0
Lexus,IS 350 AWD,Compact,3.5,6.0,AS6,Z,253.0
Lexus,IS 500,Compact,5.0,8.0,AS8,Z,280.0
Lexus,LC 500,Subcompact,5.0,8.0,AS10,Z,294.0
Lexus,LC 500 Convertible,Minicompact,5.0,8.0,AS10,Z,304.0
Lexus,LC 500h,Subcompact,3.5,6.0,AV10,Z,189.0
Lexus,LS 500 AWD,Mid-size,3.4,6.0,AS10,Z,270.0
Lexus,LS 500h AWD,Mid-size,3.5,6.0,AV10,Z,217.0
Lexus,LX 600,SUV: Standard,3.4,6.0,AS10,Z,298.0
Lexus,NX 250 AWD,SUV: Small,2.5,4.0,AS8,X,198.0
Lexus,NX 350 AWD,SUV: Small,2.4,4.0,AS8,Z,221.0
Lexus,NX 350 AWD F SPORT,SUV: Small,2.4,4.0,AS8,Z,222.0
Lexus,NX 350h AWD,SUV: Small,2.5,4.0,AV6,Z,139.0
Lexus,RC 300 AWD,Subcompact,3.5,6.0,AS6,Z,253.0
Lexus,RC 350 AWD,Subcompact,3.5,6.0,AS6,Z,253.0
Lexus,RC F,Subcompact,5.0,8.0,AS8,Z,285.0
Lexus,RX 350 AWD,SUV: Small,2.4,4.0,AS8,Z,231.0
Lexus,RX 350h AWD,SUV: Small,2.5,4.0,AV6,Z,151.0
Lexus,RX 500h AWD,SUV: Small,2.4,4.0,AS6,Z,199.0
Lexus,UX 250h AWD,Compact,2.0,4.0,AV6,X,140.0
Lincoln,Aviator AWD,SUV: Standard,3.0,6.0,AS10,X,280.0
Lincoln,Aviator AWD (Without Stop-Start),SUV: Standard,3.0,6.0,AS10,X,292.0
Lincoln,Corsair AWD,SUV: Small,2.0,4.0,AS8,X,232.0
Lincoln,Nautilus AWD,SUV: Small,2.0,4.0,A8,X,249.0
Lincoln,Nautilus AWD,SUV: Small,2.0,4.0,AS8,X,249.0
Lincoln,Nautilus AWD,SUV: Small,2.7,6.0,AS8,X,262.0
Lincoln,Navigator 4X4,SUV: Standard,3.5,6.0,AS10,X,310.0
Lincoln,Navigator 4X4 (Without Stop-Start),SUV: Standard,3.5,6.0,AS10,X,320.0
Maserati,Ghibli GT,Mid-size,3.0,6.0,A8,Z,271.0
Maserati,Ghibli Modena,Mid-size,3.0,6.0,A8,Z,271.0
Maserati,Ghibli Modena AWD,Mid-size,3.0,6.0,A8,Z,284.0
Maserati,Ghibli Trofeo,Mid-size,3.8,8.0,A8,Z,348.0
Maserati,Grecale GT,SUV: Small,2.0,4.0,A8,Z,218.0
Maserati,Grecale Modena,SUV: Small,2.0,4.0,A8,Z,218.0
Maserati,Grecale Trofeo,SUV: Small,3.0,6.0,A8,Z,268.0
Maserati,Levante GT,SUV: Standard,3.0,6.0,A8,Z,308.0
Maserati,Levante Modena,SUV: Standard,3.0,6.0,A8,Z,308.0
Maserati,Levante Modena V8,SUV: Standard,3.8,8.0,A8,Z,349.0
Maserati,Levante Trofeo,SUV: Standard,3.8,8.0,A8,Z,349.0
Maserati,MC20,Two-seater,3.0,6.0,AS8,Z,295.0
Maserati,MC20 Spyder,Two-seater,3.0,6.0,AS8,Z,299.0
Maserati,Quattroporte GT,Full-size,3.0,6.0,A8,Z,281.0
Maserati,Quattroporte Modena,Full-size,3.0,6.0,A8,Z,281.0
Maserati,Quattroporte Modena AWD,Full-size,3.0,6.0,A8,Z,284.0
Maserati,Quattroporte Trofeo,Full-size,3.8,8.0,A8,Z,348.0
Mazda,CX-30 4WD,SUV: Small,2.0,4.0,AS6,X,202.0
Mazda,CX-30 4WD,SUV: Small,2.5,4.0,AS6,X,192.0
Mazda,CX-30 Turbo 4WD,SUV: Small,2.5,4.0,AS6,X,220.0
Mazda,CX-5 4WD,SUV: Small,2.5,4.0,AS6,X,209.0
Mazda,CX-5 Turbo 4WD,SUV: Small,2.5,4.0,AS6,X,230.0
Mazda,CX-50 4WD,SUV: Small,2.5,4.0,AS6,X,209.0
Mazda,CX-50 Turbo 4WD,SUV: Small,2.5,4.0,AS6,X,220.0
Mazda,CX-9 4WD,SUV: Small,2.5,4.0,AS6,X,245.0
Mazda,Mazda3 4-Door,Compact,2.0,4.0,AS6,X,178.0
Mazda,Mazda3 4-Door (SIL),Compact,2.0,4.0,M6,X,180.0
Mazda,Mazda3 4-Door,Compact,2.5,4.0,AS6,X,179.0
Mazda,Mazda3 4-Door 4WD,Compact,2.5,4.0,AS6,X,185.0
Mazda,Mazda3 4-Door Turbo 4WD,Compact,2.5,4.0,AS6,X,207.0
Mazda,Mazda3 5-Door,Mid-size,2.0,4.0,AS6,X,181.0
Mazda,Mazda3 5-Door (SIL),Mid-size,2.0,4.0,M6,X,181.0
Mazda,Mazda3 5-Door,Mid-size,2.5,4.0,AS6,X,183.0
Mazda,Mazda3 5-Door (SIL),Mid-size,2.5,4.0,M6,X,184.0
Mazda,Mazda3 5-Door 4WD,Mid-size,2.5,4.0,AS6,X,190.0
Mazda,Mazda3 5-Door Turbo 4WD,Mid-size,2.5,4.0,AS6,X,209.0
Mazda,MX-5,Two-seater,2.0,4.0,AS6,Z,186.0
Mazda,MX-5 (SIL),Two-seater,2.0,4.0,M6,Z,189.0
Mercedes-Benz,AMG C 43 4MATIC Cabriolet,Subcompact,3.0,6.0,A9,Z,268.0
Mercedes-Benz,AMG C 43 4MATIC Coupe,Subcompact,3.0,6.0,A9,Z,257.0
Mercedes-Benz,AMG C 43 4MATIC Sedan,Compact,2.0,4.0,A9,Z,251.0
Mercedes-Benz,AMG CLA 35 4MATIC Coupe,Compact,2.0,4.0,AM7,Z,232.0
Mercedes-Benz,AMG CLA 45 4MATIC Coupe,Compact,2.0,4.0,AM8,Z,241.0
Mercedes-Benz,AMG CLS 53 4MATIC+ Coupe,Compact,3.0,6.0,A9,Z,241.0
Mercedes-Benz,AMG E 53 4MATIC+ Sedan,Mid-size,3.0,6.0,A9,Z,227.0
Mercedes-Benz,AMG E 53 4MATIC+ Cabriolet,Subcompact,3.0,6.0,A9,Z,242.0
Mercedes-Benz,AMG E 53 4MATIC+ Coupe,Subcompact,3.0,6.0,A9,Z,238.0
Mercedes-Benz,AMG E 63 4MATIC+ All-Terrain Wagon,Station wagon: Mid-size,4.0,8.0,A9,Z,312.0
Mercedes-Benz,AMG E 63 S 4MATIC+ Sedan,Mid-size,4.0,8.0,A9,Z,296.0
Mercedes-Benz,AMG G 63 SUV,SUV: Standard,4.0,8.0,A9,Z,415.0
Mercedes-Benz,AMG G 63 4x4 Squared SUV,SUV: Standard,4.0,8.0,A9,Z,508.0
Mercedes-Benz,AMG GLA 35 4MATIC SUV,Station wagon: Small,2.0,4.0,AM8,Z,222.0
Mercedes-Benz,AMG GLA 45 4MATIC SUV,Station wagon: Small,2.0,4.0,AM8,Z,256.0
Mercedes-Benz,AMG GLB 35 4MATIC SUV,Station wagon: Mid-size,2.0,4.0,AM8,Z,238.0
Mercedes-Benz,AMG GLC 43 4MATIC Coupe,SUV: Small,3.0,6.0,A9,Z,274.0
Mercedes-Benz,AMG GLE 53 4MATIC+ SUV,SUV: Standard,3.0,6.0,A9,Z,284.0
Mercedes-Benz,AMG GLE 53 4MATIC+ Coupe,SUV: Standard,3.0,6.0,A9,Z,277.0
Mercedes-Benz,AMG GLE 63 S 4MATIC+ SUV,SUV: Standard,4.0,8.0,A9,Z,343.0
Mercedes-Benz,AMG GLE 63 S 4MATIC+ Coupe,SUV: Standard,4.0,8.0,A9,Z,347.0
Mercedes-Benz,AMG GLS 63 4MATIC+ SUV,SUV: Standard,4.0,8.0,A9,Z,354.0
Mercedes-Benz,AMG GT 53 4MATIC+ Coupe,Compact,3.0,6.0,A9,Z,262.0
Mercedes-Benz,AMG GT 63 4MATIC+ Coupe,Compact,4.0,8.0,A9,Z,329.0
Mercedes-Benz,AMG GT 63 S 4MATIC+ Coupe,Compact,4.0,8.0,A9,Z,329.0
Mercedes-Benz,AMG SL 63 4MATIC+ Roadster,Minicompact,4.0,8.0,A9,Z,360.0
Mercedes-Benz,C 300 4MATIC Cabriolet,Subcompact,2.0,4.0,A9,Z,223.0
Mercedes-Benz,C 300 4MATIC Coupe,Subcompact,2.0,4.0,A9,Z,218.0
Mercedes-Benz,C 300 4MATIC Sedan,Compact,2.0,4.0,A9,Z,201.0
Mercedes-Benz,CLA 250 4MATIC Coupe,Compact,2.0,4.0,AM7,Z,200.0
Mercedes-Benz,CLS 450 4MATIC Coupe,Compact,3.0,6.0,A9,Z,229.0
Mercedes-Benz,E 350 4MATIC Sedan,Mid-size,2.0,4.0,A9,Z,228.0
Mercedes-Benz,E 450 4MATIC Cabriolet,Subcompact,3.0,6.0,A9,Z,233.0
Mercedes-Benz,E 450 4MATIC Coupe,Subcompact,3.0,6.0,A9,Z,225.0
Mercedes-Benz,E 450 4MATIC Sedan,Mid-size,3.0,6.0,A9,Z,219.0
Mercedes-Benz,E 450 4MATIC All-Terrain Wagon,Station wagon: Mid-size,3.0,6.0,A9,Z,233.0
Mercedes-Benz,G 550 SUV,SUV: Standard,4.0,8.0,A9,Z,383.0
Mercedes-Benz,GLA 250 4MATIC SUV,SUV: Small,2.0,4.0,AM8,Z,210.0
Mercedes-Benz,GLB 250 4MATIC SUV,SUV: Small,2.0,4.0,AM8,Z,221.0
Mercedes-Benz,GLC 300 4MATIC SUV,SUV: Small,2.0,4.0,A9,Z,229.0
Mercedes-Benz,GLC 300 4MATIC Coupe,SUV: Small,2.0,4.0,A9,Z,253.0
Mercedes-Benz,GLE 350 4MATIC SUV,SUV: Standard,2.0,4.0,A9,Z,257.0
Mercedes-Benz,GLE 450 4MATIC SUV,SUV: Standard,3.0,6.0,A9,Z,245.0
Mercedes-Benz,GLE 450 4MATIC Coupe,SUV: Standard,3.0,6.0,A9,Z,247.0
Mercedes-Benz,GLS 450 4MATIC SUV,SUV: Standard,3.0,6.0,A9,Z,270.0
Mercedes-Benz,GLS 580 4MATIC SUV,SUV: Standard,4.0,8.0,A9,Z,310.0
Mercedes-Benz,GLS 600 4MATIC Maybach SUV,SUV: Standard,4.0,8.0,A9,Z,346.0
Mercedes-Benz,Maybach S 580 4MATIC Sedan,Full-size,4.0,8.0,A9,Z,305.0
Mercedes-Benz,Maybach S 680 4MATIC Sedan,Full-size,6.0,12.0,A9,Z,384.0
Mercedes-Benz,Metris Cargo Van,Special purpose vehicle,2.0,4.0,A9,Z,271.0
Mercedes-Benz,Metris Cargo Van LWB,Special purpose vehicle,2.0,4.0,A9,Z,271.0
Mercedes-Benz,Metris Passenger Van,Special purpose vehicle,2.0,4.0,A9,Z,285.0
Mercedes-Benz,S 500 4MATIC Sedan,Full-size,3.0,6.0,A9,Z,242.0
Mercedes-Benz,S 580 4MATIC Sedan,Full-size,4.0,8.0,A9,Z,285.0
MINI,Cooper 3 Door,Subcompact,1.5,3.0,AM7,Z,170.0
MINI,Cooper 3 Door,Subcompact,1.5,3.0,M6,Z,177.0
MINI,Cooper 5 Door,Subcompact,1.5,3.0,AM7,Z,170.0
MINI,Cooper 5 Door,Subcompact,1.5,3.0,M6,Z,177.0
MINI,Cooper Clubman ALL4,Mid-size,1.5,3.0,AS8,Z,199.0
MINI,Cooper Convertible,Minicompact,1.5,3.0,AM7,Z,170.0
MINI,Cooper Convertible,Minicompact,1.5,3.0,M6,Z,177.0
MINI,Cooper Countryman,Mid-size,1.5,3.0,AM7,Z,194.0
MINI,Cooper Countryman ALL4,Mid-size,1.5,3.0,AS8,Z,209.0
MINI,Cooper S 3 Door,Subcompact,2.0,4.0,AM7,Z,174.0
MINI,Cooper S 3 Door,Subcompact,2.0,4.0,M6,Z,205.0
MINI,Cooper S 5 Door,Subcompact,2.0,4.0,AM7,Z,174.0
MINI,Cooper S 5 Door,Subcompact,2.0,4.0,M6,Z,205.0
MINI,Cooper S Clubman,Mid-size,2.0,4.0,AM7,Z,191.0
MINI,Cooper S Clubman,Mid-size,2.0,4.0,M6,Z,217.0
MINI,Cooper S Clubman ALL4,Mid-size,2.0,4.0,AS8,Z,206.0
MINI,Cooper S Convertible,Minicompact,2.0,4.0,AM7,Z,182.0
MINI,Cooper S Convertible,Minicompact,2.0,4.0,M6,Z,205.0
MINI,Cooper S Countryman,Mid-size,2.0,4.0,AM7,Z,199.0
MINI,Cooper S Countryman ALL4,Mid-size,2.0,4.0,AS8,Z,212.0
MINI,John Cooper Works 3 Door,Subcompact,2.0,4.0,AS8,Z,191.0
MINI,John Cooper Works 3 Door,Subcompact,2.0,4.0,M6,Z,216.0
MINI,John Cooper Works Clubman ALL4,Mid-size,2.0,4.0,AS8,Z,210.0
MINI,John Cooper Works Convertible,Minicompact,2.0,4.0,AS8,Z,200.0
MINI,John Cooper Works Countryman ALL4,Mid-size,2.0,4.0,AS8,Z,210.0
Mitsubishi,Eclipse Cross 4WD,SUV: Small,1.5,4.0,AV8,X,216.0
Mitsubishi,Mirage,Compact,1.2,3.0,AV,X,143.0
Mitsubishi,Mirage,Compact,1.2,3.0,M5,X,151.0
Mitsubishi,Outlander 4WD,SUV: Small,2.5,4.0,AV8,X,208.0
Mitsubishi,RVR,SUV: Small,2.0,4.0,AV6,X,207.0
Mitsubishi,RVR 4WD,SUV: Small,2.0,4.0,AV6,X,213.0
Mitsubishi,RVR 4WD,SUV: Small,2.4,4.0,AV6,X,218.0
Nissan,Altima AWD,Mid-size,2.5,4.0,AV,X,187.0
Nissan,Altima AWD SR/Platinum,Mid-size,2.5,4.0,AV,X,191.0
Nissan,Armada 4WD,SUV: Standard,5.6,8.0,AS7,Z,362.0
Nissan,Frontier,Pickup truck: Standard,3.8,6.0,AS9,X,260.0
Nissan,Frontier 4WD,Pickup truck: Standard,3.8,6.0,AS9,X,273.0
Nissan,Frontier 4WD Pro-4X,Pickup truck: Standard,3.8,6.0,AS9,X,283.0
Nissan,GT-R,Subcompact,3.8,6.0,AM6,Z,300.0
Nissan,Kicks,Mid-size,1.6,4.0,AV,X,169.0
Nissan,Maxima,Mid-size,3.5,6.0,AV7,Z,233.0
Nissan,Murano AWD,Station wagon: Mid-size,3.5,6.0,AV7,X,245.0
Nissan,Pathfinder 4WD,SUV: Small,3.5,6.0,AS9,X,246.0
Nissan,Pathfinder 4WD Rock Creek,SUV: Small,3.5,6.0,AS9,Z,260.0
Nissan,Qashqai,Station wagon: Small,2.0,4.0,AV8,X,188.0
Nissan,Qashqai AWD,Station wagon: Small,2.0,4.0,AV8,X,196.0
Nissan,Rogue,SUV: Small,1.5,3.0,AV8,X,170.0
Nissan,Rogue,SUV: Small,2.5,4.0,AV8,X,190.0
Nissan,Rogue AWD,SUV: Small,1.5,3.0,AV8,X,179.0
Nissan,Rogue AWD SL/Platinum,SUV: Small,1.5,3.0,AV8,X,181.0
Nissan,Rogue AWD,SUV: Small,2.5,4.0,AV8,X,195.0
Nissan,Sentra,Mid-size,2.0,4.0,AV,X,167.0
Nissan,Sentra SR,Mid-size,2.0,4.0,AV,X,171.0
Nissan,Sentra,Mid-size,2.0,4.0,M6,X,185.0
Nissan,Sentra SR,Mid-size,2.0,4.0,M6,X,189.0
Nissan,Versa,Compact,1.6,4.0,AV,X,158.0
Nissan,Versa,Compact,1.6,4.0,M5,X,181.0
Nissan,Z,Two-seater,3.0,6.0,AS9,Z,249.0
Nissan,Z,Two-seater,3.0,6.0,M6,Z,280.0
Porsche,911 Carrera,Minicompact,3.0,6.0,AM8,Z,275.0
Porsche,911 Carrera Cabriolet,Minicompact,3.0,6.0,AM8,Z,275.0
Porsche,911 Carrera S,Minicompact,3.0,6.0,AM8,Z,274.0
Porsche,911 Carrera S,Minicompact,3.0,6.0,M7,Z,264.0
Porsche,911 Carrera S Cabriolet,Minicompact,3.0,6.0,AM8,Z,273.0
Porsche,911 Carrera S Cabriolet,Minicompact,3.0,6.0,M7,Z,275.0
Ram,1500 eTorque,Pickup truck: Standard,3.6,6.0,A8,X,253.0
Ram,1500 eTorque,Pickup truck: Standard,5.7,8.0,A8,X,275.0
Ram,1500 4X4 EcoDiesel,Pickup truck: Standard,3.0,6.0,A8,D,260.0
Ram,1500 4X4 eTorque,Pickup truck: Standard,3.6,6.0,A8,X,259.0
Ram,1500 4X4,Pickup truck: Standard,5.7,8.0,A8,X,325.0
Ram,1500 4X4 eTorque,Pickup truck: Standard,5.7,8.0,A8,X,284.0
Ram,1500 4X4 TRX,Pickup truck: Standard,6.2,8.0,A8,Z,465.0
Ram,1500 Classic,Pickup truck: Standard,3.6,6.0,A8,X,276.0
Ram,1500 Classic,Pickup truck: Standard,5.7,8.0,A8,X,322.0
Ram,1500 Classic 4X4,Pickup truck: Standard,3.6,6.0,A8,X,294.0
Ram,1500 Classic 4X4,Pickup truck: Standard,5.7,8.0,A8,X,330.0
Rolls-Royce,Cullinan,Station wagon: Mid-size,6.7,12.0,AS8,Z,389.0
Rolls-Royce,Cullinan Black Badge,Station wagon: Mid-size,6.7,12.0,AS8,Z,389.0
Rolls-Royce,Ghost,Full-size,6.7,12.0,AS8,Z,388.0
Rolls-Royce,Ghost Black Badge,Full-size,6.7,12.0,AS8,Z,388.0
Rolls-Royce,Ghost Extended,Full-size,6.7,12.0,AS8,Z,388.0
Rolls-Royce,Phantom,Full-size,6.7,12.0,AS8,Z,397.0
Rolls-Royce,Phantom Extended,Full-size,6.7,12.0,AS8,Z,397.0
Subaru,Ascent AWD,SUV: Standard,2.4,4.0,AV8,X,256.0
Subaru,BRZ,Minicompact,2.4,4.0,AS6,Z,224.0
Subaru,BRZ,Minicompact,2.4,4.0,M6,Z,247.0
Subaru,Crosstrek AWD,SUV: Small,2.0,4.0,AV8,X,184.0
Subaru,Crosstrek AWD,SUV: Small,2.0,4.0,M6,X,220.0
Subaru,Crosstrek AWD,SUV: Small,2.5,4.0,AV8,X,187.0
Subaru,Forester AWD,SUV: Small,2.5,4.0,AV7,X,192.0
Subaru,Forester Wilderness AWD,SUV: Small,2.5,4.0,AV8,X,210.0
Subaru,Impreza 5-Door AWD,Station wagon: Small,2.0,4.0,AV7,X,178.0
Subaru,Impreza 5-Door AWD,Station wagon: Small,2.0,4.0,M5,X,211.0
Subaru,Legacy AWD,Full-size,2.4,4.0,AV8,X,209.0
Subaru,Legacy AWD,Full-size,2.5,4.0,AV8,X,183.0
Subaru,Outback AWD,SUV: Small,2.4,4.0,AV8,X,221.0
Subaru,Outback AWD,SUV: Small,2.5,4.0,AV8,X,195.0
Subaru,Outback Wilderness AWD,SUV: Small,2.4,4.0,AV8,X,235.0
Subaru,WRX AWD,Mid-size,2.4,4.0,AV8,Z,262.0
Subaru,WRX AWD,Mid-size,2.4,4.0,M6,Z,254.0
Toyota,4Runner 4WD,SUV: Standard,4.0,6.0,AS5,X,323.0
Toyota,4Runner 4WD (Part-Time 4WD),SUV: Standard,4.0,6.0,AS5,X,320.0
Toyota,Camry SE,Mid-size,2.5,4.0,AS8,X,174.0
Toyota,Camry XSE V6/TRD,Mid-size,3.5,6.0,AS8,X,220.0
Toyota,Camry AWD SE,Mid-size,2.5,4.0,AS8,X,192.0
Toyota,Camry AWD XSE,Mid-size,2.5,4.0,AS8,X,195.0
Toyota,Camry Hybrid LE,Mid-size,2.5,4.0,AV6,X,113.0
Toyota,Camry Hybrid SE/XLE/XSE,Mid-size,2.5,4.0,AV6,X,121.0
Toyota,Corolla (1-mode),Compact,2.0,4.0,AV10,X,158.0
Toyota,Corolla (3-mode),Compact,2.0,4.0,AV10,X,160.0
Toyota,Corolla Hatchback,Compact,2.0,4.0,AV10,X,159.0
Toyota,Corolla Hybrid,Compact,1.8,4.0,AV,X,110.0
Toyota,Corolla Hybrid AWD (2-mode),Compact,1.8,4.0,AV,X,115.0
Toyota,Corolla Hybrid AWD (3-mode),Compact,1.8,4.0,AV,X,124.0
Toyota,Corolla Cross,SUV: Small,2.0,4.0,AV10,X,171.0
Toyota,Corolla Cross AWD,SUV: Small,2.0,4.0,AV10,X,182.0
Toyota,Corolla Cross Hybrid AWD,SUV: Small,2.0,4.0,AV6,X,130.0
Toyota,Crown AWD,Mid-size,2.4,4.0,AS6,X,182.0
Toyota,Crown AWD,Mid-size,2.5,4.0,AV,X,133.0
Toyota,GR Corolla,Subcompact,1.6,3.0,M6,Z,229.0
Toyota,GR Supra 2.0,Two-seater,2.0,4.0,AS8,Z,200.0
Toyota,GR Supra 3.0,Two-seater,3.0,6.0,AS8,Z,212.0
Toyota,GR Supra 3.0,Two-seater,3.0,6.0,M6,Z,255.0
Toyota,GR86,Minicompact,2.4,4.0,AS6,Z,225.0
Toyota,GR86,Minicompact,2.4,4.0,M6,Z,247.0
Toyota,Highlander AWD,SUV: Small,2.4,4.0,AS8,X,231.0
Toyota,Highlander Hybrid AWD,SUV: Standard,2.5,4.0,AV,X,158.0
Toyota,Highlander Hybrid AWD Limited/Platinum,SUV: Standard,2.5,4.0,AV,X,156.0
Toyota,Prius AWD,Mid-size,2.0,4.0,AV,X,111.0
Toyota,RAV4,SUV: Small,2.5,4.0,AS8,X,184.0
Toyota,RAV4 AWD,SUV: Small,2.5,4.0,AS8,X,199.0
Toyota,RAV4 AWD (Stop/Start),SUV: Small,2.5,4.0,AS8,X,187.0
Toyota,RAV4 AWD LE,SUV: Small,2.5,4.0,AS8,X,184.0
Toyota,RAV4 Hybrid AWD,SUV: Small,2.5,4.0,AV,X,141.0
Toyota,Sequoia 4WD,SUV: Standard,3.4,6.0,AS10,X,273.0
Toyota,Sienna,Minivan,2.5,4.0,AV,X,154.0
Toyota,Sienna AWD,Minivan,2.5,4.0,AV,X,158.0
Toyota,Tacoma 4WD,Pickup truck: Small,3.5,6.0,AS6,X,278.0
Toyota,Tacoma 4WD,Pickup truck: Small,3.5,6.0,M6,X,299.0
Toyota,Tacoma 4WD D-Cab TRD Off-Road/PRO,Pickup truck: Small,3.5,6.0,M6,X,300.0
Toyota,Tundra,Pickup truck: Standard,3.4,6.0,AS10,X,277.0
Toyota,Tundra 4WD,Pickup truck: Standard,3.4,6.0,AS10,X,285.0
Toyota,Tundra 4WD TRD,Pickup truck: Standard,3.4,6.0,AS10,X,286.0
Toyota,Tundra Hybrid 4WD,Pickup truck: Standard,3.4,6.0,AS10,X,274.0
Toyota,Tundra Hybrid 4WD TRD PRO,Pickup truck: Standard,3.4,6.0,AS10,X,287.0
Toyota,Venza AWD,SUV: Small,2.5,4.0,AV,X,142.0
Volkswagen,Atlas,SUV: Small,2.0,4.0,AS8,X,240.0
Volkswagen,Atlas 4MOTION,SUV: Small,2.0,4.0,AS8,X,255.0
Volkswagen,Atlas 4MOTION,SUV: Small,3.6,6.0,AS8,X,279.0
Volkswagen,Atlas Cross Sport,SUV: Small,2.0,4.0,AS8,X,243.0
Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,2.0,4.0,AS8,X,256.0
Volkswagen,Atlas Cross Sport 4MOTION,SUV: Small,3.6,6.0,AS8,X,275.0
Volkswagen,Golf GTI,Compact,2.0,4.0,AM7,X,198.0
Volkswagen,Golf GTI,Compact,2.0,4.0,M6,X,205.0
Volkswagen,Golf R,Compact,2.0,4.0,A7,Z,213.0
Volkswagen,Golf R,Compact,2.0,4.0,M6,Z,237.0
Volkswagen,Jetta,Compact,1.5,4.0,AS8,X,159.0
Volkswagen,Jetta Comfortline/Highline,Compact,1.5,4.0,AS8,X,167.0
Volkswagen,Jetta,Compact,1.5,4.0,M6,X,165.0
Volkswagen,Jetta GLI,Compact,2.0,4.0,AM7,X,185.0
Volkswagen,Jetta GLI,Compact,2.0,4.0,M6,X,186.0
Volkswagen,Taos,SUV: Small,1.5,4.0,AS8,X,178.0
Volkswagen,Taos 4MOTION,SUV: Small,1.5,4.0,AM7,X,200.0
Volkswagen,Tiguan 4MOTION,SUV: Small,2.0,4.0,AS8,X,222.0
Volkswagen,Tiguan R-Line 4MOTION,SUV: Small,2.0,4.0,AS8,X,229.0
Volvo,S60 B5,Compact,2.0,4.0,AS8,Z,186.0
Volvo,S60 B5 AWD,Compact,2.0,4.0,AS8,Z,193.0
Volvo,S90 B6 AWD,Mid-size,2.0,4.0,AS8,Z,211.0
Volvo,V60 B6 AWD,Station wagon: Small,2.0,4.0,AS8,Z,212.0
Volvo,V60 CC B5 AWD,Station wagon: Small,2.0,4.0,AS8,Z,211.0
Volvo,V90 CC B6 AWD,Station wagon: Mid-size,2.0,4.0,AS8,Z,227.0
Volvo,XC40 B4 AWD,SUV: Small,2.0,4.0,AS8,Z,208.0
Volvo,XC40 B5 AWD,SUV: Small,2.0,4.0,AS8,Z,215.0
Volvo,XC60 B5 AWD,SUV: Small,2.0,4.0,AS8,Z,218.0
